[0808/204104.369:ERROR:process_reader_win.cc(188)] ResumeThread: Parâmetro incorreto. (0x57)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.371:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.372:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.372:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.372:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.372:ERROR:process_reader_win.cc(151)] SuspendThread: Acesso negado. (0x5)
[0808/204104.820:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Tentou-se acessar um processo de saída. (0xc000010a)
